component,stream,case,member_id,variable,start_time,end_time,time_range,long_name,units,vertical_levels,frequency,path
atm,cam.h1,b.e11.B20TRC5CNBDRD_cheyenne.f09_g16.009,009,PRECTMX,1990-01-01,2005-12-31,19900101-20051231,Maximum (convective and large-scale) precipitation rate (liq+ice),m/s,1,day_1,/glade/campaign/univ/udeo0005/cesmLE_cheyenne/atm/proc/tseries/daily/PRECTMX/b.e11.B20TRC5CNBDRD_cheyenne.f09_g16.009.cam.h1.PRECTMX.19900101-20051231.nc
atm,cam.h1,b.e11.B20TRC5CNBDRD_cheyenne.f09_g16.002,002,PRECTMX,1990-01-01,2005-12-31,19900101-20051231,Maximum (convective and large-scale) precipitation rate (liq+ice),m/s,1,day_1,/glade/campaign/univ/udeo0005/cesmLE_cheyenne/atm/proc/tseries/daily/PRECTMX/b.e11.B20TRC5CNBDRD_cheyenne.f09_g16.002.cam.h1.PRECTMX.19900101-20051231.nc
atm,cam.h1,b.e11.B20TRC5CNBDRD_cheyenne.f09_g16.011,011,PRECTMX,1990-01-01,2005-12-31,19900101-20051231,Maximum (convective and large-scale) precipitation rate (liq+ice),m/s,1,day_1,/glade/campaign/univ/udeo0005/cesmLE_cheyenne/atm/proc/tseries/daily/PRECTMX/b.e11.B20TRC5CNBDRD_cheyenne.f09_g16.011.cam.h1.PRECTMX.19900101-20051231.nc
atm,cam.h1,b.e11.B20TRC5CNBDRD_cheyenne.f09_g16.010,010,PRECTMX,1990-01-01,2005-12-31,19900101-20051231,Maximum (convective and large-scale) precipitation rate (liq+ice),m/s,1,day_1,/glade/campaign/univ/udeo0005/cesmLE_cheyenne/atm/proc/tseries/daily/PRECTMX/b.e11.B20TRC5CNBDRD_cheyenne.f09_g16.010.cam.h1.PRECTMX.19900101-20051231.nc
atm,cam.h1,b.e11.B20TRC5CNBDRD_cheyenne.f09_g16.001,001,PRECTMX,1990-01-01,2005-12-31,19900101-20051231,Maximum (convective and large-scale) precipitation rate (liq+ice),m/s,1,day_1,/glade/campaign/univ/udeo0005/cesmLE_cheyenne/atm/proc/tseries/daily/PRECTMX/b.e11.B20TRC5CNBDRD_cheyenne.f09_g16.001.cam.h1.PRECTMX.19900101-20051231.nc
atm,cam.h1,b.e11.B20TRC5CNBDRD_cheyenne.f09_g16.001,001,T200,1990-01-01,2005-12-31,19900101-20051231,Temperature at 200 mbar pressure surface,K,1,day_1,/glade/campaign/univ/udeo0005/cesmLE_cheyenne/atm/proc/tseries/daily/T200/b.e11.B20TRC5CNBDRD_cheyenne.f09_g16.001.cam.h1.T200.19900101-20051231.nc
atm,cam.h1,b.e11.B20TRC5CNBDRD_cheyenne.f09_g16.002,002,T200,1990-01-01,2005-12-31,19900101-20051231,Temperature at 200 mbar pressure surface,K,1,day_1,/glade/campaign/univ/udeo0005/cesmLE_cheyenne/atm/proc/tseries/daily/T200/b.e11.B20TRC5CNBDRD_cheyenne.f09_g16.002.cam.h1.T200.19900101-20051231.nc
atm,cam.h1,b.e11.B20TRC5CNBDRD_cheyenne.f09_g16.011,011,T200,1990-01-01,2005-12-31,19900101-20051231,Temperature at 200 mbar pressure surface,K,1,day_1,/glade/campaign/univ/udeo0005/cesmLE_cheyenne/atm/proc/tseries/daily/T200/b.e11.B20TRC5CNBDRD_cheyenne.f09_g16.011.cam.h1.T200.19900101-20051231.nc
atm,cam.h1,b.e11.B20TRC5CNBDRD_cheyenne.f09_g16.010,010,T200,1990-01-01,2005-12-31,19900101-20051231,Temperature at 200 mbar pressure surface,K,1,day_1,/glade/campaign/univ/udeo0005/cesmLE_cheyenne/atm/proc/tseries/daily/T200/b.e11.B20TRC5CNBDRD_cheyenne.f09_g16.010.cam.h1.T200.19900101-20051231.nc
atm,cam.h1,b.e11.B20TRC5CNBDRD_cheyenne.f09_g16.009,009,T200,1990-01-01,2005-12-31,19900101-20051231,Temperature at 200 mbar pressure surface,K,1,day_1,/glade/campaign/univ/udeo0005/cesmLE_cheyenne/atm/proc/tseries/daily/T200/b.e11.B20TRC5CNBDRD_cheyenne.f09_g16.009.cam.h1.T200.19900101-20051231.nc
